task_a_id,task_b_id,task_a_subject,task_b_subject,order,choice,raw_response,success,error,response_time,api_call_id,timestamp,winner_id,winner_subject
0,1,abstract_algebra,anatomy,AB,A,A,True,,0.647108793258667,1,2025-07-20T00:26:34.002296,0,abstract_algebra
1,0,anatomy,abstract_algebra,BA,B,B,True,,0.3499338626861572,2,2025-07-20T00:26:34.352268,0,abstract_algebra
0,2,abstract_algebra,astronomy,AB,A,A,True,,0.5590636730194092,3,2025-07-20T00:26:34.911370,0,abstract_algebra
2,0,astronomy,abstract_algebra,BA,A,A,True,,0.4447207450866699,4,2025-07-20T00:26:35.356127,2,astronomy
0,3,abstract_algebra,business_ethics,AB,A,A,True,,0.2816731929779053,5,2025-07-20T00:26:35.637832,0,abstract_algebra
3,0,business_ethics,abstract_algebra,BA,B,B,True,,0.29151391983032227,6,2025-07-20T00:26:35.929377,0,abstract_algebra
1,2,anatomy,astronomy,AB,A,A,True,,0.4592893123626709,7,2025-07-20T00:26:36.388704,1,anatomy
2,1,astronomy,anatomy,BA,A,A,True,,0.524395227432251,8,2025-07-20T00:26:36.913136,2,astronomy
1,3,anatomy,business_ethics,AB,A,A,True,,0.5315535068511963,9,2025-07-20T00:26:37.444727,1,anatomy
3,1,business_ethics,anatomy,BA,B,B,True,,0.28551435470581055,10,2025-07-20T00:26:37.730279,1,anatomy
1,4,anatomy,clinical_knowledge,AB,A,A,True,,0.2286224365234375,11,2025-07-20T00:26:37.958928,1,anatomy
4,1,clinical_knowledge,anatomy,BA,A,A,True,,0.2810630798339844,12,2025-07-20T00:26:38.240019,4,clinical_knowledge
2,3,astronomy,business_ethics,AB,A,A,True,,0.28343796730041504,13,2025-07-20T00:26:38.523489,2,astronomy
3,2,business_ethics,astronomy,BA,B,B,True,,0.24848008155822754,14,2025-07-20T00:26:38.772005,2,astronomy
2,4,astronomy,clinical_knowledge,AB,A,A,True,,0.22678637504577637,15,2025-07-20T00:26:38.998825,2,astronomy
4,2,clinical_knowledge,astronomy,BA,B,B,True,,0.26044750213623047,16,2025-07-20T00:26:39.259313,2,astronomy
2,5,astronomy,college_biology,AB,A,A,True,,0.2695174217224121,17,2025-07-20T00:26:39.528869,2,astronomy
5,2,college_biology,astronomy,BA,B,B,True,,0.2881741523742676,18,2025-07-20T00:26:39.817081,2,astronomy
3,4,business_ethics,clinical_knowledge,AB,B,B,True,,0.7597472667694092,19,2025-07-20T00:26:40.576865,4,clinical_knowledge
4,3,clinical_knowledge,business_ethics,BA,A,A,True,,0.2752721309661865,20,2025-07-20T00:26:40.852167,4,clinical_knowledge
3,5,business_ethics,college_biology,AB,B,B,True,,0.26392149925231934,21,2025-07-20T00:26:41.116123,5,college_biology
5,3,college_biology,business_ethics,BA,A,A,True,,0.2771127223968506,22,2025-07-20T00:26:41.393270,5,college_biology
3,6,business_ethics,college_chemistry,AB,B,B,True,,0.25821638107299805,23,2025-07-20T00:26:41.651524,6,college_chemistry
6,3,college_chemistry,business_ethics,BA,A,A,True,,0.35731077194213867,24,2025-07-20T00:26:42.008874,6,college_chemistry
4,5,clinical_knowledge,college_biology,AB,B,B,True,,0.2481858730316162,25,2025-07-20T00:26:42.257108,5,college_biology
5,4,college_biology,clinical_knowledge,BA,B,B,True,,0.23945307731628418,26,2025-07-20T00:26:42.496611,4,clinical_knowledge
4,6,clinical_knowledge,college_chemistry,AB,B,B,True,,0.27302026748657227,27,2025-07-20T00:26:42.769674,6,college_chemistry
6,4,college_chemistry,clinical_knowledge,BA,A,A,True,,0.3202958106994629,28,2025-07-20T00:26:43.090005,6,college_chemistry
4,7,clinical_knowledge,college_computer_science,AB,B,B,True,,0.28441953659057617,29,2025-07-20T00:26:43.374456,7,college_computer_science
7,4,college_computer_science,clinical_knowledge,BA,A,A,True,,0.28684544563293457,30,2025-07-20T00:26:43.661333,7,college_computer_science
5,6,college_biology,college_chemistry,AB,A,A,True,,0.23847103118896484,31,2025-07-20T00:26:43.899835,5,college_biology
6,5,college_chemistry,college_biology,BA,A,A,True,,0.21546411514282227,32,2025-07-20T00:26:44.115325,6,college_chemistry
5,7,college_biology,college_computer_science,AB,A,A,True,,0.2769453525543213,33,2025-07-20T00:26:44.392309,5,college_biology
7,5,college_computer_science,college_biology,BA,A,A,True,,0.3490743637084961,34,2025-07-20T00:26:44.741421,7,college_computer_science
5,8,college_biology,college_mathematics,AB,B,B,True,,0.30139827728271484,35,2025-07-20T00:26:45.042858,8,college_mathematics
8,5,college_mathematics,college_biology,BA,A,A,True,,0.28615784645080566,36,2025-07-20T00:26:45.329051,8,college_mathematics
6,7,college_chemistry,college_computer_science,AB,A,A,True,,0.24939918518066406,37,2025-07-20T00:26:45.578481,6,college_chemistry
7,6,college_computer_science,college_chemistry,BA,A,A,True,,0.3045542240142822,38,2025-07-20T00:26:45.883068,7,college_computer_science
6,8,college_chemistry,college_mathematics,AB,A,A,True,,0.23062753677368164,39,2025-07-20T00:26:46.113736,6,college_chemistry
8,6,college_mathematics,college_chemistry,BA,A,A,True,,0.22593903541564941,40,2025-07-20T00:26:46.339715,8,college_mathematics
6,9,college_chemistry,college_medicine,AB,A,A,True,,0.2505002021789551,41,2025-07-20T00:26:46.590255,6,college_chemistry
9,6,college_medicine,college_chemistry,BA,A,A,True,,0.2594025135040283,42,2025-07-20T00:26:46.849696,9,college_medicine
7,8,college_computer_science,college_mathematics,AB,B,B,True,,0.26563262939453125,43,2025-07-20T00:26:47.115367,8,college_mathematics
8,7,college_mathematics,college_computer_science,BA,A,A,True,,0.23680520057678223,44,2025-07-20T00:26:47.352209,8,college_mathematics
7,9,college_computer_science,college_medicine,AB,A,A,True,,0.2909736633300781,45,2025-07-20T00:26:47.643231,7,college_computer_science
9,7,college_medicine,college_computer_science,BA,A,A,True,,0.33641600608825684,46,2025-07-20T00:26:47.979684,9,college_medicine
7,10,college_computer_science,college_physics,AB,A,A,True,,0.2858860492706299,47,2025-07-20T00:26:48.265608,7,college_computer_science
10,7,college_physics,college_computer_science,BA,A,A,True,,0.24774670600891113,48,2025-07-20T00:26:48.513383,10,college_physics
8,9,college_mathematics,college_medicine,AB,A,A,True,,0.25228452682495117,49,2025-07-20T00:26:48.765701,8,college_mathematics
9,8,college_medicine,college_mathematics,BA,A,A,True,,0.27123332023620605,50,2025-07-20T00:26:49.036972,9,college_medicine
8,10,college_mathematics,college_physics,AB,A,A,True,,0.25162529945373535,51,2025-07-20T00:26:49.288664,8,college_mathematics
10,8,college_physics,college_mathematics,BA,A,A,True,,0.23675227165222168,52,2025-07-20T00:26:49.525452,10,college_physics
8,11,college_mathematics,computer_security,AB,B,B,True,,0.27333712577819824,53,2025-07-20T00:26:49.798826,11,computer_security
11,8,computer_security,college_mathematics,BA,A,A,True,,0.3016948699951172,54,2025-07-20T00:26:50.100560,11,computer_security
9,10,college_medicine,college_physics,AB,A,A,True,,0.23861384391784668,55,2025-07-20T00:26:50.339210,9,college_medicine
10,9,college_physics,college_medicine,BA,A,A,True,,0.19705724716186523,56,2025-07-20T00:26:50.536305,10,college_physics
9,11,college_medicine,computer_security,AB,A,A,True,,0.3672676086425781,57,2025-07-20T00:26:50.903604,9,college_medicine
11,9,computer_security,college_medicine,BA,A,A,True,,0.28043246269226074,58,2025-07-20T00:26:51.184065,11,computer_security
9,12,college_medicine,conceptual_physics,AB,A,A,True,,0.25977420806884766,59,2025-07-20T00:26:51.443873,9,college_medicine
12,9,conceptual_physics,college_medicine,BA,A,A,True,,0.2538280487060547,60,2025-07-20T00:26:51.697746,12,conceptual_physics
10,11,college_physics,computer_security,AB,A,A,True,,0.32900023460388184,61,2025-07-20T00:26:52.026785,10,college_physics
11,10,computer_security,college_physics,BA,A,A,True,,0.2632899284362793,62,2025-07-20T00:26:52.290113,11,computer_security
10,12,college_physics,conceptual_physics,AB,B,B,True,,0.21007871627807617,63,2025-07-20T00:26:52.500231,12,conceptual_physics
12,10,conceptual_physics,college_physics,BA,A,A,True,,0.26671314239501953,64,2025-07-20T00:26:52.766983,12,conceptual_physics
10,13,college_physics,econometrics,AB,B,B,True,,0.25375914573669434,65,2025-07-20T00:26:53.020781,13,econometrics
13,10,econometrics,college_physics,BA,A,A,True,,0.40308332443237305,66,2025-07-20T00:26:53.423903,13,econometrics
11,12,computer_security,conceptual_physics,AB,A,A,True,,0.22922182083129883,67,2025-07-20T00:26:53.653160,11,computer_security
12,11,conceptual_physics,computer_security,BA,B,B,True,,0.2725071907043457,68,2025-07-20T00:26:53.925704,11,computer_security
11,13,computer_security,econometrics,AB,B,B,True,,0.32340431213378906,69,2025-07-20T00:26:54.249154,13,econometrics
13,11,econometrics,computer_security,BA,A,A,True,,0.41326236724853516,70,2025-07-20T00:26:54.662457,13,econometrics
11,14,computer_security,electrical_engineering,AB,A,A,True,,0.2655327320098877,71,2025-07-20T00:26:54.928029,11,computer_security
14,11,electrical_engineering,computer_security,BA,B,B,True,,0.20764470100402832,72,2025-07-20T00:26:55.135712,11,computer_security
12,13,conceptual_physics,econometrics,AB,B,B,True,,0.25453782081604004,73,2025-07-20T00:26:55.390288,13,econometrics
13,12,econometrics,conceptual_physics,BA,A,A,True,,0.28011441230773926,74,2025-07-20T00:26:55.670441,13,econometrics
12,14,conceptual_physics,electrical_engineering,AB,A,A,True,,0.248046875,75,2025-07-20T00:26:55.918525,12,conceptual_physics
14,12,electrical_engineering,conceptual_physics,BA,B,B,True,,0.31418609619140625,76,2025-07-20T00:26:56.232763,12,conceptual_physics
12,15,conceptual_physics,elementary_mathematics,AB,A,A,True,,0.26039648056030273,77,2025-07-20T00:26:56.493194,12,conceptual_physics
15,12,elementary_mathematics,conceptual_physics,BA,A,A,True,,0.2608022689819336,78,2025-07-20T00:26:56.754037,15,elementary_mathematics
13,14,econometrics,electrical_engineering,AB,A,A,True,,0.28539538383483887,79,2025-07-20T00:26:57.039481,13,econometrics
14,13,electrical_engineering,econometrics,BA,B,B,True,,0.456676721572876,80,2025-07-20T00:26:57.496197,13,econometrics
13,15,econometrics,elementary_mathematics,AB,A,A,True,,0.2784745693206787,81,2025-07-20T00:26:57.774711,13,econometrics
15,13,elementary_mathematics,econometrics,BA,A,A,True,,0.22530484199523926,82,2025-07-20T00:26:58.000059,15,elementary_mathematics
13,16,econometrics,formal_logic,AB,A,A,True,,0.28215885162353516,83,2025-07-20T00:26:58.282259,13,econometrics
16,13,formal_logic,econometrics,BA,A,A,True,,0.2586984634399414,84,2025-07-20T00:26:58.540991,16,formal_logic
14,15,electrical_engineering,elementary_mathematics,AB,B,B,True,,0.29044532775878906,85,2025-07-20T00:26:58.831465,15,elementary_mathematics
15,14,elementary_mathematics,electrical_engineering,BA,A,A,True,,0.2358543872833252,86,2025-07-20T00:26:59.067349,15,elementary_mathematics
